id,firstname,lastname,year_of_birth,gender,postal_code,blood_type,social_security
1,Michael,Lewis,1952,F,80048,O-,226-60-2945
2,James,Brown,1939,F,34766,B+,539-69-1096
3,Michael,White,1992,F,63595,AB-,7766165393
4,Alex,Lewis,1982,M,45978,AB-,390-63-7776
5,Mark,Davis,1936,M,78632,A+,295-66-5819
6,James,Davis,1926,F,94995,O-,484-13-2282
7,,Brown,1700,M,54091,A-,100-19-9678
8,David,Wilson,2011,M,43158,O-,206-74-3495
9,Sarah,Lewis,1920,F,13407,B+,3141041149
10,Alex,Lewis,1982,M,91940,B+,677-20-4156
11,Alex,Brown,1924,F,23897,AB+,559-29-7151
12,Emily,White,1940,M,31726,AB-,385-70-9249
13,Jane,Davis,2001,M,77122,XYZ,688-35-3592
14,Sarah,Brown,1700,F,65373,B-,963-96-8094
15,Emily,Lewis,1955,M,76379,B+,911-89-1434
16,John,Jones,2005,M,19859,B+,992-42-9749
17,Mark,Harris,2011,M,50219,AB+,727-27-4832
18,Emily,Brown,1930,F,82197,A-,924-15-7523
19,Michael,Jones,1953,M,32568,B-,815-38-6200
20,,Harris,1951,F,32207,O+,391-39-9817
21,Lisa,Brown,1960,F,14186,AB-,802-16-7516
22,,Davis,1954,M,20734,O+,9392492889
23,Michael,Davis,1965,M,16161,O+,926-59-5070
24,John,,1964,M,81728,A-,835-29-6873
25,James,Smith,1935,F,10647,AB-,357-44-4669
26,Jane,Doe,1957,F,47808,O+,269-55-1572
27,Michael,Smith,1961,M,87774,A-,816-59-7179
28,David,Wilson,1974,M,84689,AB+,672-40-9291
29,,Taylor,1939,M,75906,O-,262-49-8185
30,Emily,Brown,1960,F,59310,O-,420-32-6848
31,Emily,Harris,2019,F,44373,C+,803-75-3430
32,James,Harris,1999,F,51599,C+,712-47-4164
33,Alex,Wilson,2001,M,94339,A-,714-54-7241
34,Lisa,Davis,1933,M,55320,A+,820-54-7780
35,John,Wilson,1924,F,93261,A+,492-60-7589
36,James,Smith,1989,F,51037,B+,546-88-4822
37,Jane,Clark,1984,M,53215,A+,893-81-4308
38,Jane,White,2009,F,43426,AB-,628-59-6237
39,Sarah,Davis,2016,F,97782,B+,855-91-3907
40,Sarah,Lewis,1930,M,84585,O-,224-68-4132
41,Jane,Wilson,1988,F,63352,A-,178-31-7060
42,Alex,Brown,1970,M,71816,AB+,289-23-8172
43,Jane,,1908,F,69487,A+,903-75-1632
44,Michael,Davis,2005,M,27683,O+,738-75-6994
45,Michael,Taylor,2019,M,71219,B-,265-87-9352
46,James,,1947,F,29967,A-,922-50-5006
47,Mark,Jones,1800,F,78905,B-,741-11-7852
48,Sarah,Taylor,1941,M,34927,O+,675-67-9833
49,Lisa,Davis,1941,F,97783,B+,135-80-8914
50,Mark,Smith,1937,M,82026,AB+,315-49-9389
51,Michael,White,2018,M,82552,B-,157-20-7444
52,Sarah,Jones,1934,M,47739,AB+,394-54-2943
53,William,Jones,1966,F,97388,B+,811-65-7202
54,James,,1938,F,15050,O-,135-75-9921
55,,Clark,1939,F,63514,A-,282-68-7271
56,Sarah,Wilson,1954,F,27999,O+,886-40-1114
57,John,Taylor,1930,M,84385,A-,264-13-2670
58,William,,1953,M,61622,B-,397-36-5186
59,Emily,Harris,1958,F,15900,B+,551-97-5753
60,James,,1977,M,89546,AB-,834-30-9619
61,Jane,Smith,1909,F,52706,B+,178-57-6798
62,Alex,Davis,1800,F,27820,B-,859-39-7690
63,Lisa,Doe,1993,F,775056,B+,443-12-2445
64,William,Harris,1934,F,40334,B-,622-89-5615
65,Mark,Lewis,1959,M,60850,B-,516-30-3590
66,Sarah,Brown,1983,M,67449,O+,108-34-3929
67,Michael,Taylor,1953,M,49865,O+,432-58-8209
68,James,Doe,1926,M,284235,B-,843-83-1216
69,John,Wilson,1973,M,19404,AB+,380-14-9361
70,Alex,Harris,1945,M,542502,A-,992-61-6500
71,John,Wilson,1930,M,98947,O+,408-95-4353
72,,Doe,1927,F,95653,A-,199-33-4560
73,Michael,Wilson,1976,F,284677,C+,917-60-8447
74,James,Lewis,1909,M,82920,A+,463-50-3778
75,,Wilson,1964,M,56312,A-,703-39-4153
76,Sarah,Clark,1997,M,54098,O-,778-74-6120
77,Lisa,Clark,1957,F,30305,A-,210-82-2604
78,William,Doe,1935,M,74757,AB+,742-88-2207
79,Michael,Lewis,1976,M,95762,A-,316-38-5220
80,Sarah,Harris,1990,M,55981,B-,623-42-8996
81,William,,2007,F,25730,A-,6029999792
82,William,Doe,1932,F,45428,O-,452-17-9420
83,David,,1700,F,58241,O+,931-27-9409
84,Sarah,,1960,F,98302,AB-,604-20-1487
85,William,Doe,1959,M,41152,AB+,875-15-2449
86,Mark,Harris,1990,M,98523,A+,845-76-6763
87,Emily,Brown,1955,F,40716,AB-,336-86-7543
88,,Smith,1990,F,47847,A-,280-23-3313
89,Sarah,Jones,1968,M,45041,A+,816-67-1402
90,Jane,Jones,1941,F,21908,B-,558-23-7455
91,Alex,Doe,1979,M,63598,O-,197-66-9344
92,Alex,,2011,M,99998,O+,239-86-1794
93,James,Doe,1969,F,87172,A-,586-21-2205
94,Sarah,Brown,1950,M,91643,O+,504-82-6713
95,Sarah,,1959,F,20731,A+,444-18-8429
96,Mark,Taylor,2009,M,54948,AB-,983-89-3891
97,Jane,Wilson,1968,F,23077,A-,902-73-5001
98,David,Davis,1957,F,95297,AB+,408-31-7917
99,Emily,Harris,1939,F,30403,O+,553-23-2388
100,Sarah,Wilson,2001,M,52235,B+,614-23-4683
